country,share_energy,share_finance,share_manufacturing,share_mining,share_other,share_real_estate,share_technology,hhi_concentration,selfMade_ratio,life_expectancy_country,gross_tertiary_education_enrollment,gdp_country,n_billionaires
Poland,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.52,1.0,77.6,67.8,592164400688.0,5
Portugal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,81.3,63.9,237686075635.0,1
Qatar,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,80.1,17.9,183466208791.0,2
Romania,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,75.4,49.4,250077444017.0,3
Russia,0.0,0.4936708860759494,0.13924050632911392,0.06329113924050633,0.08860759493670886,0.0759493670886076,0.13924050632911392,0.30011216151257814,1.0,72.7,81.9,1699876578871.0,79
Singapore,0.021739130434782608,0.45652173913043476,0.043478260869565216,0.021739130434782608,0.13043478260869565,0.043478260869565216,0.2826086956521739,0.3100189035916824,0.6304347826086957,83.1,84.8,372062527489.0,46
Slovakia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,77.2,46.6,105422304976.0,2
South Africa,0.0,0.4,0.0,0.2,0.2,0.0,0.2,0.28,0.6,63.9,22.4,351431649241.0,5
South Korea,0.03125,0.15625,0.03125,0.0,0.25,0.0,0.53125,0.37109375,0.46875,82.6,94.3,2029000000000.0,32
Spain,0.0,0.6,0.0,0.0,0.24,0.16,0.0,0.4432,0.4,83.3,88.9,1394116310769.0,25
Sweden,0.0,0.46153846153846156,0.038461538461538464,0.0,0.19230769230769232,0.07692307692307693,0.23076923076923078,0.31065088757396453,0.5,82.5,67.0,530832908738.0,26
Switzerland,0.01282051282051282,0.3974358974358974,0.11538461538461539,0.0,0.3076923076923077,0.02564102564102564,0.14102564102564102,0.28665351742274825,0.5641025641025641,83.6,59.6,703082435360.0,78
Taiwan,0.08695652173913043,0.41304347826086957,0.32608695652173914,0.0,0.10869565217391304,0.021739130434782608,0.043478260869565216,0.29867674858223064,0.6304347826086957,78.5,66.3,19910000000000.0,46
Tanzania,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,4.0,63177068175.0,1
Thailand,0.0,0.39285714285714285,0.10714285714285714,0.0,0.10714285714285714,0.07142857142857142,0.32142857142857145,0.2857142857142857,0.5,76.9,49.3,543649976166.0,28
Turkey,0.0,0.32,0.0,0.0,0.08,0.04,0.56,0.42400000000000004,0.56,77.4,23.9,754411708203.0,25
Turks and Caicos Islands,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,78.5,66.3,19910000000000.0,1
Ukraine,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,71.6,82.7,153781069118.0,6
United Arab Emirates,0.0,0.5294117647058824,0.0,0.0,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.356401384083045,0.5882352941176471,77.8,36.8,421142267938.0,17
United Kingdom,0.0,0.5,0.13095238095238096,0.0,0.16666666666666666,0.03571428571428571,0.16666666666666666,0.3239795918367347,0.7142857142857143,81.3,60.0,2827113184696.0,84
United States,0.04370860927152318,0.40794701986754967,0.030463576158940398,0.0013245033112582781,0.271523178807947,0.02384105960264901,0.22119205298013245,0.2924801543791939,0.7152317880794702,78.5,88.2,21427700000000.0,755
Uruguay,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77.8,63.1,56045912952.0,1
Uzbekistan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,71.6,10.1,57921286440.0,1
Vietnam,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.2777777777777778,1.0,75.3,28.5,261921244843.0,6
